id	characterId	characterLevel	extraCompList	skill_list	maxHp	maxMp	attack	defend	missChance	criticalChance	attackTargetType	armorLevel	magicResistanceLevel	attackDamageType	attackPhysicalLevel	attackMagicAttribute	weakAttributeList	normalAttributeList	resistentAttributeList	invilidAttributeList	bounceAttributeList	suckAttributeList	needExpToNextLevel	dropExp	dropMoney
1001	1001	1	*	1001	165	50	35	7	.05	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	WATER	FIRE;WOOD	*	*	*	*	100	50	50
1002	1001	2	*	1001	200	80	45	10	.05	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	WATER	FIRE;WOOD	*	*	*	*	150	51	51
1003	1001	3	*	1001;1003	245	110	58	13	.05	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	WATER	FIRE;WOOD	*	*	*	*	250	52	52
1004	1001	4	*	1001;1003	305	130	70	16	.05	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	WATER	FIRE;WOOD	*	*	*	*	400	53	53
1005	1001	5	*	1001;1003	425	150	82	19	.05	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	WATER	FIRE;WOOD	*	*	*	*	600	54	54
1006	1002	1	*	1002	122	80	43	5	.02	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	FIRE	*	FIRE;WATER;WOOD	*	*	*	*	100	55	55
1007	1002	2	*	1002;1004	150	110	52	8	.02	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	FIRE	*	FIRE;WATER;WOOD	*	*	*	*	150	56	56
1008	1002	3	*	1002;1004	185	135	65	10	.02	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	FIRE	*	FIRE;WATER;WOOD	*	*	*	*	250	57	57
1009	1002	4	*	1002;1004;1008	224	165	79	13	.02	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	FIRE	*	FIRE;WATER;WOOD	*	*	*	*	400	58	58
1010	1002	5	*	1002;1004;1008	265	205	95	15	.02	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	FIRE	*	FIRE;WATER;WOOD	*	*	*	*	600	59	59
1011	1004	1	*	*	120	0	15	2	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	FIRE	WATER;WOOD	*	*	*	*	100	60	60
1012	1004	2	*	*	150	0	20	3	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	FIRE	WATER;WOOD	*	*	*	*	150	61	61
1013	1004	3	*	*	195	0	28	4	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	FIRE	WATER;WOOD	*	*	*	*	250	62	62
1014	1004	4	*	*	265	0	38	5	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	FIRE	WATER;WOOD	*	*	*	*	400	63	63
1015	1004	5	*	*	325	0	50	6	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	FIRE	WATER;WOOD	*	*	*	*	600	64	64
1016	1005	1	*	*	120	0	18	2	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	*	FIRE;WOOD	*	WATER	*	*	100	65	65
