id	uiName	uiResObjName
1001	tbs_main_panel	panel_tbs_main
1002	selection_cursor	selection_cursor
1003	tbs_skill_panel	panel_tbs_skill
1004	tbs_skill_item_prefab	prefab_tbs_skill_item
1005	tbs_info_item_prefab	prefab_tbs_info_item
1006	tbs_info_panel	panel_tbs_info
1007	tbs_confim_panel	panel_tbs_confirm
1008	tbs_enemy_hud_panel	panel_tbs_enemy_hud
1009	tbs_enemy_hud_item_prefab	prefab_enemy_hud_item
1010	tbs_damage_num_prefab	prefab_damage_num
1011	tbs_turn_chg_panel	panel_tbs_turn_chg
1012	tbs_win_panel	panel_tbs_win
1013	tbs_lose_panel	panel_tbs_lose
1014	tbs_attack_state_prefab	prefab_attack_state
1015	tbs_item_panel	panel_tbs_item
1016	tbs_item_item_prefab	prefab_tbs_item_item
1017	common_tip_prefab	prefab_common_tip
1018	tbs_player_hud_panel	panel_tbs_player_hud
1019	tbs_player_hud_item_prefab	prefab_player_hud_item
1020	tbs_skill_name_tip	prefab_tbs_skill_name_tip
1021	tbs_detail_panel	panel_tbs_detail
1022	dialogue_panel	panel_dialogue
1023	option_panel	panel_option
1024	main_panel	panel_main
1025	item_panel	panel_item
