key	value
tbsCrticalMultiplier	1.5
tbsMagicWeakMultiplier	1.5
tbsMagicNormalMultiplier	1
tbsMagicResistMultiplier	.7
tbsPhysicalPenetrateSameMultiplier	1
tbsPhysicalPenetrateHigherOneMultiplier	1.5
tbsPhysicalPenetrateHigherTwoMultiplier	1.7
tbsPhysicalPenetrateHigherThreeMultiplier	2
tbsPhysicalPenetrateLowerOneMultiplier	.7
tbsPhysicalPenetrateLowerTwoMultiplier	.5
tbsPhysicalPenetrateLowerThreeMultiplier	.3
tbsMagicResistanceLightMultiplier	.95
tbsMagicResistanceMediumMultiplier	.8
tbsMagicResistanceHeavyMultiplier	.65
tbsMagicResistanceHeroMultiplier	.5
tbsRomanNumberOneSpriteObjName	spr_roman_one
tbsRomanNumberTwoSpriteObjName	spr_roman_two
tbsRomanNumberThreeSpriteObjName	spr_roman_three
tbsAttributeNormalSpriteObjName	spr_attribute_normal
tbsAttributeWeakSpriteObjName	spr_attribute_weak
tbsAttributeResistanceSpriteObjName	spr_attribute_resistance
tbsAttributeInvalidSpriteObjName	spr_attribute_invalid
tbsAttributeBounceSpriteObjName	spr_attribute_bounce
tbsAttributeSuckSpriteObjName	spr_attribute_suck
tbsAttributeUnknownSpriteObjName	spr_attribute_unknown
tbsResistanceHeroSpriteObjName	spr_resistance_hero
tbsLittleAmountMultiplier	1.2
tbsMiddleAmountMultiplier	1.5
tbsLargeAmountMultiplier	1.8
tbsSuperAmountMultiplier	2.2
